x,y
1.160000000000,4.219866552232e+00
1.170000000000,4.273985277057e+00
1.180000000000,4.328748405779e+00
1.190000000000,4.384162414766e+00
1.200000000000,4.440233845473e+00
1.210000000000,4.496969305098e+00
1.220000000000,4.554375467243e+00
1.230000000000,4.612459072579e+00
1.240000000000,4.671226929525e+00
1.250000000000,4.730685914924e+00
1.260000000000,4.790842974731e+00
1.270000000000,4.851705124711e+00
1.280000000000,4.913279451139e+00
1.290000000000,4.975573111506e+00
1.300000000000,5.038593335238e+00
1.310000000000,5.102347424420e+00
1.320000000000,5.166842754522e+00
1.330000000000,5.232086775138e+00
1.340000000000,5.298087010733e+00
1.350000000000,5.364851061394e+00
1.360000000000,5.432386603590e+00
1.370000000000,5.500701390941e+00
1.380000000000,5.569803254990e+00
1.390000000000,5.639700105988e+00
1.400000000000,5.710399933689e+00
1.410000000000,5.781910808142e+00
1.420000000000,5.854240880503e+00
1.430000000000,5.927398383846e+00
1.440000000000,6.001391633993e+00
1.450000000000,6.076229030338e+00
1.460000000000,6.151919056690e+00
1.470000000000,6.228470282125e+00
1.480000000000,6.305891361838e+00
1.490000000000,6.384191038007e+00
1.500000000000,6.463378140676e+00
1.510000000000,6.543461588629e+00
1.520000000000,6.624450390284e+00
1.530000000000,6.706353644600e+00
1.540000000000,6.789180541976e+00
1.550000000000,6.872940365181e+00
1.560000000000,6.957642490276e+00
1.570000000000,7.043296387550e+00
1.580000000000,7.129911622475e+00
1.590000000000,7.217497856653e+00
1.600000000000,7.306064848790e+00
1.610000000000,7.395622455667e+00
1.620000000000,7.486180633128e+00
1.630000000000,7.577749437073e+00
1.640000000000,7.670339024469e+00
1.650000000000,7.763959654360e+00
1.660000000000,7.858621688894e+00
1.670000000000,7.954335594362e+00
1.680000000000,8.051111942244e+00
1.690000000000,8.148961410262e+00
1.700000000000,8.247894783454e+00
1.710000000000,8.347922955248e+00
1.720000000000,8.449056928552e+00
1.730000000000,8.551307816857e+00
1.740000000000,8.654686845344e+00
1.750000000000,8.759205352011e+00
1.760000000000,8.864874788805e+00
1.770000000000,8.971706722765e+00
1.780000000000,9.079712837182e+00
1.790000000000,9.188904932766e+00
1.800000000000,9.299294928826e+00
1.810000000000,9.410894864461e+00
1.820000000000,9.523716899767e+00
1.830000000000,9.637773317049e+00
1.840000000000,9.753076522053e+00
1.850000000000,9.869639045204e+00
1.860000000000,9.987473542858e+00
1.870000000000,1.010659279857e+01
1.880000000000,1.022700972438e+01
1.890000000000,1.034873736209e+01
1.900000000000,1.047178888456e+01
1.910000000000,1.059617759706e+01
1.920000000000,1.072191693858e+01
1.930000000000,1.084902048316e+01
1.940000000000,1.097750194127e+01
1.950000000000,1.110737516118e+01
1.960000000000,1.123865413031e+01
1.970000000000,1.137135297669e+01
1.980000000000,1.150548597032e+01
1.990000000000,1.164106752462e+01
2.000000000000,1.177811219786e+01
